Name,TID,TicketsInWinGamesDraw,TicketsInCollabDraw,TicketsInPresentDraw,Rarity,IsRarityOfferContainer,GroupType,ShuffleRandomizeRewards,CustomRewards,IsOverchargeDraw,IsRankedDraw,CollabId,MultiDropCount,CombineCurrencies,SplitCount0Tickets,SplitCount1Tickets,SplitCount2Tickets,SplitCount3Tickets,PremiumDrawCountForMultiDrops,SCW,VisualType,TransitionExportName,SCFilename,TargetClip,SlashesNeeded,SlashClawEffect,SlashClawShadow,SlashClawCount,SoundSlash,CustomBgExportName,BackgroundFrameLabel,ChargeProgressClip,HoldChargeEffect,TouchEffectFilename,TouchEffectExportName,TapEffectClip1,TapEffectClip2,TapEffectClip3,TapEffectClipBg,UpgradeEffectClip,UpgradeEffectClipBg,FinalContainerEffectClip,FinalContainerEffectClipBg,OpeningEffectClip,OpeningEffectClipBg,RewardsLeftIcon,OpeningInstruction,Intro3DAnimStart,Intro3DAnimEnd,Idle3DAnimStart,Idle3DAnimEnd,Miss3DAnimStart,Miss3DAnimEnd,Upgrade3DAnimStart,Upgrade3DAnimEnd,Open3DAnimStart,Open3DAnimEnd,SoundAppear,SoundCharge,SoundMiss,SoundUpgrade,SoundReadyToOpen,SoundReadyToOpen2,SoundOpen,FaceFileName,FaceIdleExportName,FaceUpgradeExportName,FaceOpenExportName,SoloOfferDefaultBgFrameName,SoloOfferDefaultTitleTID,RarityFrameLabel,AnimationSCW,PiggyTap1,PiggyTap2,PiggyTap3,PiggyTap4,PiggyTapBackground1,PiggyTapBackground2,PiggyTapBackground3,PiggyTapBackground4,PiggyTapBackgroundFinal,PiggyTapBackgroundFinalBg,CustomAnimationNames,CustomAnimationStartFrames,CustomAnimationEndFrames,DescriptionExportName,GachaSummaryExportNameOverride
MythicCollabDrop,TID_SHOP_OFFER_TITLE_60,,,10,4,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/collab_godzilla.sc,collab_godzilla_random_reward_opening,6,,TRUE,4,Eggslash_Sfx_14,collab_godzilla_random_reward_opening_bg,mythic,,,,,gacha_vfx_tap,,,,,,gacha_vfx_mythic,gacha_vfx_mythic_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_random_reward_icon,,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Mythic_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_mythic,TID_SHOP_STARR_DROP_MYTHIC,mythic,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
LegendaryCollabDrop,TID_SHOP_OFFER_TITLE_60,,,5,5,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/collab_godzilla.sc,collab_godzilla_random_reward_opening,20,,TRUE,4,Eggslash_Sfx_20,collab_godzilla_random_reward_opening_bg,legendary,,,,,gacha_vfx_tap,,,,,,gacha_vfx_legendary,gacha_vfx_legendary_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_random_reward_icon,,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Legendary_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_legendary,TID_SHOP_STARR_DROP_LEGENDARY,legendary,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
MegaBox,TID_SHOP_GATCHA_BOX_3,,,,,,,,,,,2,7,TRUE,,,,,,sc3d/bbox_11.scw,CHEST,gacha_whiteflash,sc/faggot.sc,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,,Reveal_epic,Demonic_Spawn_Item,,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_mythic,,no_rarity,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
AngelicStar,,,,,,,,,,,,9,,TRUE,,,,,,sc3d/star_angel_level_3.glb,CHARGING,,,,,,,,,collab_bg_star_angels,no_rarity,collab_gacha_radial_progress_angels,,sc/effects.sc,dynamike_spark,gacha_vfx_tap,,,,,,gacha_vfx_superrare,gacha_vfx_superrare_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_random_reward_icon,,0,54,55,80,0,0,0,0,84,119,Angelic_Drop_Appear,Angelic_Drop_Tap_Open_6secs,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Super_Rare_VO,Reveal_rare,Angelic_Drop_Open,characters.sc,starr_angel_idle,starr_angel_charge,starr_angel_open,offer_rarity_super_rare,TID_SHOP_STARR_DROP_SUPER_RARE,super_rare,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
DemonicStar,,,,,,,,,,,,9,,TRUE,,,,,,sc3d/star_demon_level_3.glb,CHARGING,,,,,,,,,collab_bg_star_demons,no_rarity,collab_gacha_radial_progress_demons,,sc/effects.sc,dynamike_spark,gacha_vfx_tap,,,,,,gacha_vfx_mythic,gacha_vfx_mythic_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_random_reward_icon,,0,54,55,80,0,0,0,0,84,119,Demonic_Drop_Appear,Demonic_Drop_Tap_Open_6secs,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Mythic_VO,Reveal_epic,Demonic_Drop_Open,characters.sc,starr_demon_idle,starr_demon_charge,starr_demon_open,offer_rarity_mythic,TID_SHOP_STARR_DROP_MYTHIC,mythic,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SeasonBoxLevel1,TID_SEASON_BOX_LEVEL_1,,,,,,SEASON_BOX,,,,,,4,TRUE,,,,,1,sc3d/bling_box_1_geo.glb,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,,Reveal_rare,Demonic_Spawn_Item,,,,,offer_rarity_rare,TID_SEASON_BOX_LEVEL_1,level_1,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SeasonBoxLevel2,TID_SEASON_BOX_LEVEL_2,,,,,,SEASON_BOX,,,,,,8,TRUE,,,,,1,sc3d/bling_box_2_geo.glb,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,,Reveal_rare,Demonic_Spawn_Item,,,,,offer_rarity_super_rare,TID_SEASON_BOX_LEVEL_2,level_2,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SeasonBoxLevel3,TID_SEASON_BOX_LEVEL_3,,,,,,SEASON_BOX,,,,,,12,TRUE,,,,,1,sc3d/bling_box_3_geo.glb,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,,Reveal_epic,Demonic_Spawn_Item,,,,,offer_rarity_epic,TID_SEASON_BOX_LEVEL_3,level_3,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SeasonBoxLevel4,TID_SEASON_BOX_LEVEL_4,,,,,,SEASON_BOX,,,,,,16,TRUE,,,,,1,sc3d/bling_box_4_geo.glb,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,,Reveal_epic,Demonic_Spawn_Item,,,,,offer_rarity_mythic,TID_SEASON_BOX_LEVEL_4,level_4,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SeasonBoxLevel5,TID_SEASON_BOX_LEVEL_5,,,,,,SEASON_BOX,,,,,,20,TRUE,,,,,1,sc3d/bbox_13.scw,CHEST,gacha_yellowflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Mythic_VO,Reveal_epic,Demonic_Spawn_Item,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_super_rare,TID_SEASON_BOX_LEVEL_1,level_2,,,,,,,,,,,,,,,gacha_splitting_star_opening_description_screen_hud_bottom,gatcha_summary_redirecter_brawler_box
RarePresentDrop,TID_SHOP_OFFER_TITLE_60,,,40,1,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_01,collab_godzilla_random_reward_opening_bg,rare,,,,,gacha_vfx_tap,,,,,,gacha_vfx_rare,gacha_vfx_rare_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Rare_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_rare,TID_SHOP_STARR_DROP_RARE,rare,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SuperRarePresentDrop,TID_SHOP_OFFER_TITLE_60,,,25,2,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_05,collab_godzilla_random_reward_opening_bg,super_rare,,,,,gacha_vfx_tap,,,,,,gacha_vfx_superrare,gacha_vfx_superrare_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Super_Rare_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_super_rare,TID_SHOP_STARR_DROP_SUPER_RARE,super_rare,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
EpicPresentDrop,TID_SHOP_OFFER_TITLE_60,,,20,3,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,5,,TRUE,4,Eggslash_Sfx_09,collab_godzilla_random_reward_opening_bg,epic,,,,,gacha_vfx_tap,,,,,,gacha_vfx_epic,gacha_vfx_epic_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Epic_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_epic,TID_SHOP_STARR_DROP_EPIC,epic,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
MythicPresentDrop,TID_SHOP_OFFER_TITLE_60,,,10,4,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,6,,TRUE,4,Eggslash_Sfx_14,collab_godzilla_random_reward_opening_bg,mythic,,,,,gacha_vfx_tap,,,,,,gacha_vfx_mythic,gacha_vfx_mythic_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Mythic_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_mythic,TID_SHOP_STARR_DROP_MYTHIC,mythic,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
LegendaryPresentDrop,TID_SHOP_OFFER_TITLE_60,,,5,5,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,20,,TRUE,4,Eggslash_Sfx_20,collab_godzilla_random_reward_opening_bg,legendary,,,,,gacha_vfx_tap,,,,,,gacha_vfx_legendary,gacha_vfx_legendary_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Legendary_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_legendary,TID_SHOP_STARR_DROP_LEGENDARY,legendary,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SplitterRare,,,,35,,,,,,TRUE,,8,1,TRUE,,,,,,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_01,collab_godzilla_random_reward_opening_bg,rare,,,,,gacha_vfx_tap,,,,,,gacha_vfx_rare,gacha_vfx_rare_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Rare_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_rare,TID_SHOP_STARR_DROP_RARE,rare,,,,,,,,,,,,,,,gacha_sushi_opening_description_screen_hud_bottom,gatcha_summary_redirecter_brawler_box
SplitterSuperRare,,,,22,,,,,,TRUE,,8,2,TRUE,,,,,,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_05,collab_godzilla_random_reward_opening_bg,super_rare,,,,,gacha_vfx_tap,,,,,,gacha_vfx_superrare,gacha_vfx_superrare_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Super_Rare_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_super_rare,TID_SHOP_STARR_DROP_SUPER_RARE,super_rare,,,,,,,,,,,,,,,gacha_sushi_opening_description_screen_hud_bottom,gatcha_summary_redirecter_brawler_box
SplitterEpic,,,,2,,,,,,TRUE,,8,4,TRUE,,,,,1,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_14,collab_godzilla_random_reward_opening_bg,epic,,,,,gacha_vfx_tap,,,,,,gacha_vfx_mythic,gacha_vfx_mythic_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Mythic_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_mythic,TID_SHOP_STARR_DROP_MYTHIC,mythic,,,,,,,,,,,,,,,gacha_sushi_opening_description_screen_hud_bottom,gatcha_summary_redirecter_brawler_box
SplitterMythic,,,,1,,,,,,TRUE,,8,8,TRUE,,,,,1,,SLASHING,,sc/gacha.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_20,collab_godzilla_random_reward_opening_bg,mythic,,,,,gacha_vfx_tap,,,,,,gacha_vfx_legendary,gacha_vfx_legendary_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_gift_icon,collab_godzilla_gacha_opening_hint,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Legendary_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_legendary,TID_SHOP_STARR_DROP_LEGENDARY,legendary,,,,,,,,,,,,,,,gacha_sushi_opening_description_screen_hud_bottom,gatcha_summary_redirecter_brawler_box
DancerBrawlerBox,TID_BRAWLER_BOX_DANCER,,,,,,BRAWLER_BOX,,,,,,8,TRUE,,,,,,sc3d/dancer_brawlerbox_geo.glb,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_brawler_mina_appear,no_rarity,,,,,,,,,,,,,brawlerbox_vfx_open,,gacha_random_reward_icon,,,,,,,,,,,,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,,Reveal_epic,UI_Meta_Star_Tap_Explode,characters.sc,starr_01_idle,starr_01_change,starr_01_final,dancer,,no_rarity,,,,,,,,,,,,,,,,gatcha_summary_dancer_brawler_box
